Student ID,student name,Class,Gender,Attendance Percentage,Maths Marks,Science Marks,English Marks,Assignment Score,Study Hours Per Day,Previous Marks,Average Marks
ST047,Yash Singh,9th,Female,80,83.2,65,89.2,85.4,1.6,73.8,79.1
ST048,Dev Sharma,8th,Male,100,69.3,84,81,63.8,3,88.1,78.1
ST049,Yash Mehta,9th,Female,73.5,79.3,71.4,69.5,64.5,2.5,59.7,73.4
ST050,Karan Joshi,9th,Male,81.9,77.7,67,74,77.5,3,57.3,72.9
ST051,Aarav Joshi,9th,Female,84,76.7,77.8,81.7,67.8,4.2,78.3,78.7
ST052,Ved Shah,8th,Male,74,65.3,75.6,74.1,90.6,2.5,75.5,71.7
ST053,Riya Joshi,9th,Female,67.6,68.2,63,61.3,67.5,1.4,82.3,64.2
ST054,Aditya Shah,8th,Male,84.7,72.6,76.9,70.3,69.1,2.3,76.8,73.3
ST055,Aarav Gupta,9th,Female,100,85.6,91.7,95.8,80,3.7,63.2,91
ST056,Kavya Mehta,10th,Male,86,66.8,72.8,77.3,70.3,3.6,75.2,72.3
ST057,Zoya Singh,10th,Female,82.9,60.8,71.2,56,60.2,3.4,56.3,62.7
ST058,Anjali Mehta,8th,Female,82.8,76.3,79.9,63.5,61.8,2.1,67,73.2
ST059,Karan Joshi,10th,Female,79.4,93.6,100,93.8,81.5,3.7,76,95.8
ST060,Meera Patel,10th,Male,93.8,73.2,67.3,73.7,58.7,4,65.7,71.4
ST061,Aarav Mehta,9th,Female,76.9,83.6,88.7,73.1,91.8,2,99.6,81.8
ST062,Varun Joshi,8th,Male,68.4,59.9,69.3,46.7,66.7,2.8,47.3,58.6
ST063,Ananya Shah,9th,Female,66.2,70.2,72.9,76.6,82.4,5.2,63.4,73.2
ST064,Meera Joshi,9th,Male,82.8,60.7,65.7,66.1,67.4,1.9,58.7,64.2
ST065,Tanvi Shah,9th,Female,92.6,50.5,53.5,36.4,64,0.8,61.6,46.8
ST066,Aarav Shah,9th,Male,84.4,71.4,90.5,78.6,78,4.5,62.3,80.2
ST067,Ananya Shah,9th,Male,78.8,78,67.4,73.7,87.6,4.2,54.1,73
ST068,Aarav Gupta,9th,Female,86.6,80.4,61.1,76.6,72,2.3,79,72.7
ST069,Zoya Mehta,9th,Male,83.9,69.2,65.5,55.2,74.2,2.7,63.4,63.3
ST070,Nikhil Mehta,8th,Male,90.3,69.5,66.1,63.7,84.7,1.3,72,66.5
ST071,Aman Singh,10th,Female,95.3,65.5,91.6,80.3,85.1,2.9,64.8,79.1
ST072,Pooja Desai,9th,Male,72.5,87.8,81,85.7,74.5,4.2,61.7,84.8
ST073,Kavya Shah,9th,Male,58.6,58.1,58.2,63,69.7,2.1,90.1,59.8
ST074,Diya Sharma,9th,Male,78.5,67.5,76.3,69.4,76,3.9,81.1,71.1
ST075,Sana Verma,9th,Female,71.8,62.1,65.8,68.5,72.7,3.4,47.6,65.5
ST076,Isha Gupta,9th,Male,90.3,76.8,100,84.9,78.8,3.5,46.3,87.3
ST077,Varun Mehta,9th,Female,74.8,78,72,76.6,60.7,2.2,82.5,75.5
ST078,Neha Verma,10th,Male,63.2,54.4,53.7,55.3,78.3,2.4,63.8,54.5
ST079,Neha Mehta,10th,Male,76.3,52.4,61.1,63.9,66.4,0.6,50.2,59.1
ST080,Aman Shah,9th,Male,67.1,59.5,62.3,63.3,85.9,2.1,82.5,61.7
ST081,Tanvi Patel,10th,Female,97.9,92.3,72,100,66.9,4.2,72,88.1
ST082,Kavya Singh,8th,Male,86.7,80.8,79.8,79.6,67.1,1.7,73,80.1
ST083,Shreya Khan,9th,Male,88.5,76.2,85.2,88.3,80.3,1.9,79.7,83.3
ST084,Anjali Verma,8th,Female,87.4,80.1,72.5,74,75.2,3.6,54.3,75.6
ST085,Isha Desai,8th,Male,90.4,66.5,81.2,73,100,3.3,50.4,73.6
ST086,Varun Singh,9th,Female,93.3,53.4,62.2,52.3,55.4,3.6,89,55.9
ST087,Diya Sharma,10th,Female,76.6,61.9,55.1,54.3,76.3,1.4,52.8,57.1
ST088,Aarav Singh,8th,Male,67.8,60,55.6,64.9,88.6,5.9,55.3,60.2
ST089,Aman Singh,9th,Female,73.5,63.6,65,66.5,68.1,1.3,57.7,65
ST090,Sana Singh,8th,Male,81.5,72.3,78,66.8,64.1,3,95,72.3
ST091,Aditya Mehta,8th,Female,56.4,77.6,57.4,63.1,64.5,2.6,75.9,66
ST092,Arjun Joshi,8th,Female,93.4,100,80.1,64,55.7,1.4,81.6,81.4
ST093,Aman Singh,8th,Male,63,72.4,87.6,75.2,91.2,2.4,72.4,78.4
ST094,Isha Gupta,10th,Female,88,64.5,59.2,65.6,71,2.8,62.8,63.1
ST095,Aarav Shah,8th,Female,80.3,64.6,65.3,65.5,69.6,2,77.6,65.1
ST096,Kavya Joshi,8th,Female,84.9,65.5,71.5,61.6,49.5,3.9,51.3,66.2
ST097,Pooja Khan,8th,Female,77.3,50.4,69.2,75.8,57.8,2.6,56.9,65.1
ST098,Ved Singh,10th,Female,84.2,74.7,77.9,72.9,92.6,1.2,78.8,75.2
ST099,Sana Sharma,8th,Male,77.3,62.1,40.1,63.9,78.6,1.1,53.7,55.4
ST100,Isha Sharma,8th,Female,76.4,84.1,79.6,78.1,89,3.5,67.7,80.6
ST101,Zoya Verma,10th,Male,73,80.3,65.7,79.9,87.5,1,68.3,75.3
ST102,Meera Mehta,10th,Female,97.3,68.9,70.6,66.7,63,3.2,63.7,68.7
ST103,Aditi Shah,10th,Male,85.7,84.9,74,85.5,100,3.3,46.6,81.5
ST104,Riya Gupta,8th,Male,84.1,88.2,92.2,62.1,98.4,1.6,62.5,80.8
ST105,Riya Joshi,10th,Female,73.2,76.2,80.4,81.2,68.2,3.9,60.1,79.3
ST106,Riya Sharma,10th,Female,79.7,55.1,51.3,47,32.2,0.7,71.9,51.1
ST107,Aditi Patel,8th,Female,72.1,51.3,51.6,60.7,70.7,3.2,71.3,54.5
ST108,Anjali Khan,10th,Male,77.1,58,69.1,71.6,77.9,2.8,74.5,66.3
ST109,Varun Gupta,8th,Female,69.9,64.9,77.3,74.1,68.2,2.7,61.9,72.1
ST110,Aarav Sharma,9th,Male,97.9,84,86.5,90.8,72.3,1.4,76.3,87.1
ST111,Sahil Patel,10th,Male,74.4,41.4,45,40.8,65.1,1.7,51.3,42.4
ST112,Shreya Desai,9th,Male,73.2,64.2,59.9,73.2,86.1,4.7,48.1,65.8
ST113,Arjun Mehta,8th,Female,68.7,61,68.2,58.5,75.8,4.3,42,62.5
ST114,Akash Mehta,10th,Female,74.3,81.5,80,69.4,86.4,3.7,64,77
ST115,Krishna Joshi,8th,Male,77.1,77.1,91.3,84.2,89.7,3.9,61,84.2
ST116,Aman Sharma,9th,Male,81.5,48.1,56.2,62.4,48.9,3.8,79.5,55.6
ST117,Arjun Joshi,8th,Female,75.5,57.3,60.7,58.3,65.8,2.4,62.2,58.8
ST118,Ananya Verma,10th,Male,66,66.3,65.5,53.5,67.5,2.9,73.3,61.8
ST119,Aditi Khan,10th,Female,66.9,61.8,67.1,69.5,100,1,79.8,66.1
ST120,Tanvi Sharma,9th,Male,88.8,78.8,81.4,79.5,76.8,2.7,61.8,79.9
ST121,Karan Khan,8th,Female,80.8,74.8,85.6,79.3,84.8,4.2,73.6,79.9
ST122,Rahul Shah,10th,Male,88.5,74.5,76.5,59.8,52.4,2,82,70.3
ST123,Sana Verma,9th,Female,89.8,92.3,65.4,72.6,76.7,4,55.1,76.8
ST124,Sahil Desai,10th,Male,83.5,79.1,85.8,91.6,86.7,2.9,70.3,85.5
ST125,Aditya Shah,10th,Female,69.7,53.3,68.8,54.7,85.3,1.1,61.8,58.9
ST126,Sana Mehta,8th,Female,83.9,65.7,68.7,59.4,82.5,1.5,55.9,64.6
ST127,Sana Singh,10th,Male,96,63,68.4,75.6,75.2,3.9,51.6,69
ST128,Aarav Joshi,8th,Male,77.5,68.4,69.7,57.4,75.7,3.5,55.7,65.2
ST129,Diya Patel,10th,Female,85.4,67.6,67.5,62.4,54.7,2.9,70.7,65.8
ST130,Ishaan Sharma,9th,Male,81.9,80.2,78.6,59.8,64.2,2.5,50.7,72.8
ST131,Krishna Singh,10th,Female,95.7,77.8,84.7,87.1,77.8,3.1,63.4,83.2
ST132,Yash Patel,8th,Male,75.2,59.6,51.9,66,66.4,3.9,79.8,59.2
ST133,Varun Desai,8th,Female,93.5,79,82.9,87.4,83.3,4.6,75.4,83.1
ST134,Aditya Mehta,9th,Female,78.2,81.4,79.9,82.9,80.6,4.6,63.6,81.4
ST135,Anjali Desai,10th,Female,75.1,77.6,87.5,72.3,91.4,3.2,90.3,79.1
ST136,Rahul Singh,10th,Female,83.1,78.7,70.4,75.7,86.5,2.6,92.7,75
ST137,Sana Sharma,9th,Female,85.4,86,77.2,71.6,77.7,3,70.3,78.2
ST138,Aditi Sharma,10th,Female,100,67.2,69,78.8,84,3.4,40.4,71.7
ST139,Rahul Gupta,10th,Male,85.2,91.7,100,100,87.1,3.4,80.6,97.2
ST140,Ananya Mehta,8th,Male,83.9,79.2,73.5,71.8,68.9,4.4,42.5,74.8
ST141,Karan Singh,10th,Male,98,97,91.9,98.7,71,5.3,87.7,95.9
ST142,Aditya Shah,10th,Female,88,78.5,77.4,83.5,73.8,2.6,83,79.8
ST143,Rahul Shah,9th,Female,75.6,66.6,50.7,72.4,69.3,5.4,91.3,63.2
ST144,Sana Joshi,9th,Female,95.6,74.2,98.6,80.6,87.2,4.2,73.1,84.5
ST145,Tanvi Joshi,8th,Female,74.6,56.5,52,52.5,67.5,2.7,65.7,53.7
ST146,Aarav Joshi,10th,Male,75.5,92.2,84,79,90,4.6,64.6,85.1
ST147,Sana Sharma,10th,Male,73.5,79,70.3,79,70.6,4.8,63.4,76.1
ST148,Ishaan Verma,10th,Female,72.6,72.4,65.8,63.8,80.7,2.2,81.8,67.4
ST149,Arjun Joshi,8th,Male,85.3,91.6,98.4,95.6,77,4.9,78.5,95.2
ST150,Sana Shah,8th,Male,79.4,72.7,52,62.6,63.3,4.1,71.4,62.4
ST151,Rahul Singh,9th,Female,47.2,76.7,74.1,66.6,74.8,5.6,61.3,72.5
ST152,Aditya Singh,8th,Male,79.3,82.7,69.6,72,79,2.3,100,74.8
ST153,Dev Patel,10th,Female,76.8,51.9,59.9,65,74.2,2.4,80.9,59
ST154,Nikhil Patel,10th,Male,90.9,43.2,63.1,54.9,58.9,0.5,50.8,53.7
ST155,Aditi Khan,8th,Female,76.4,71.5,79.8,78.6,95.4,3.5,63.8,76.7
ST156,Aditya Singh,10th,Female,100,89.7,82.3,93.9,76.1,3.3,81.2,88.6
ST157,Akash Sharma,10th,Female,96,72,71.6,83.5,65.5,2.1,60.4,75.7
ST158,Akash Sharma,8th,Female,78.1,95.2,69.8,78.4,94.4,2.7,74.2,81.1
ST159,Nikhil Gupta,8th,Male,93.5,68.1,71.9,64.3,82.4,1.2,81.4,68.1
ST160,Rahul Verma,10th,Female,87.3,71.9,81,61,60.6,4.2,30,71.3
ST161,Ved Joshi,10th,Female,84.3,79.5,63.3,91.4,62.5,2.2,68.7,78.1
ST162,Diya Shah,10th,Female,90,85.3,81.6,96,72.3,6.5,69.2,87.6
ST163,Riya Sharma,9th,Male,82.5,69.9,82,83.2,78.6,2.6,65.1,78.3
ST164,Rahul Shah,9th,Female,84.4,85.7,87.6,97.8,82.5,1.9,73.6,90.4
ST165,Tanvi Mehta,9th,Male,90.2,98.2,82.5,74.8,86.4,2.3,77.9,85.2
ST166,Tanvi Khan,8th,Female,100,60.2,67.7,73.3,81.5,1.1,71.7,67.1
ST167,Arjun Shah,9th,Male,84.5,59,69.2,71.8,91.2,3.4,65.5,66.6
ST168,Tanvi Joshi,8th,Male,77.5,73.6,68.9,62.4,76.5,2.3,77.6,68.3
ST169,Aman Patel,8th,Female,61.7,68.7,68.8,65.3,65.9,4.2,70.6,67.6
ST170,Shreya Sharma,9th,Male,100,85.2,88.2,81.4,75,2.5,67.2,84.9
ST171,Anjali Sharma,9th,Female,79.4,65.9,57.3,62.9,74.2,4.5,54.3,62
ST172,Ananya Shah,9th,Female,87.3,50.6,64.3,60.7,44.1,3.7,51.2,58.5
ST173,Akash Shah,10th,Female,100,70,65.5,76.9,68.3,2.8,54,70.8
ST174,Riya Sharma,9th,Male,84.3,80.6,67.5,75.8,78.8,4.7,73.3,74.6
ST175,Meera Gupta,10th,Male,80.1,84.1,75.3,63.8,69.9,3.9,69.1,74.4
ST176,Arjun Shah,8th,Female,96.2,69.2,64.3,87.6,67.2,6.3,52.2,73.7
ST177,Anjali Singh,10th,Female,86.6,83.2,75,72.6,85.9,2.3,77.8,76.9
ST178,Ananya Joshi,9th,Male,87.9,72.6,67.4,72.1,64,2.9,86.5,70.7
ST179,Dev Sharma,8th,Female,66.8,68.4,56,71.1,83.5,4.7,62.8,65.2
ST180,Nikhil Gupta,8th,Female,94.1,66.6,59.3,68.8,59,0.9,49.1,64.9
ST181,Aditya Sharma,8th,Female,85.8,79.5,88.3,94.7,100,4.4,61.5,87.5
ST182,Sana Gupta,10th,Male,68.3,67.7,69.3,67.4,72.4,3.3,80.3,68.2
ST183,Varun Sharma,9th,Male,86.9,45.5,45.7,49.6,71.1,1.7,76.6,46.9
ST184,Aditya Patel,8th,Male,61.4,60.2,77.4,77.5,88.7,1.2,58.9,71.7
ST185,Yash Desai,8th,Female,100,75.5,69.8,67.7,70,2,88.3,71
ST186,Tanvi Desai,8th,Female,71,76,80.9,72.5,92.5,0.5,86.2,76.5
ST187,Aditya Joshi,10th,Female,98.1,63.2,57.8,60.4,79.5,2.2,61.2,60.5
ST188,Nikhil Joshi,10th,Male,73.9,85.3,77.3,73.7,73.6,3.5,61.1,78.8
ST189,Rohan Khan,9th,Female,87.6,96.7,89.7,93,72.3,2.2,62.9,93.2
ST190,Varun Patel,10th,Female,72.9,86.4,75.8,96,89.5,4.5,63.9,86.1
ST191,Aman Desai,8th,Female,92,80.2,91.5,81.7,77.8,4.8,81.4,84.5
ST192,Aditi Desai,9th,Female,79.6,83,58.3,83.2,80.2,4.3,75.1,74.8
ST193,Riya Joshi,8th,Male,86.7,85,100,81.6,81.5,3.1,80.5,88.9
ST194,Aarav Singh,8th,Male,82.2,82.6,77.4,70.5,76.6,0.5,78.1,76.8
ST195,Krishna Khan,10th,Female,68.3,77.2,76.7,88.7,81.2,2,90.6,80.9
ST196,Rahul Mehta,9th,Male,87,62.1,60.2,58.1,73.6,2.6,57.3,60.1
ST197,Dev Desai,10th,Male,77,65.5,62.8,61.8,74.4,1.7,74.6,63.4
ST198,Varun Desai,10th,Female,92.5,61.9,65.7,60.1,61.6,2.6,43.9,62.6
ST199,Aditya Patel,9th,Female,79.6,69.7,74.4,70.4,78.6,4.7,54.2,71.5
ST200,Yash Joshi,8th,Male,81.2,62.6,57.9,62,54.4,0.8,69.1,60.8
ST201,Neha Desai,8th,Female,98.8,81.9,88.3,81.6,78.4,5,75,83.9
ST202,Diya Singh,9th,Male,100,92.4,80.4,87.9,71.6,3.9,68.8,86.9
ST203,Akash Verma,8th,Female,89.9,66.8,59.7,73.1,79.5,3.1,63.2,66.5
ST204,Aarav Joshi,9th,Male,79.1,59.9,80.5,48.5,62.4,1.9,65.3,63
ST205,Nikhil Shah,9th,Female,78.3,53.7,65.2,55.9,49.6,1.8,86.4,58.3
ST206,Varun Patel,10th,Male,73.8,69.1,73.5,61.8,70.8,0.8,65.4,68.1
ST207,Aditi Mehta,9th,Male,75.7,77.8,67.7,78.7,62.4,4.9,91,74.7
ST208,Tanvi Shah,10th,Male,79.3,51.7,57.3,73.7,53.6,4.6,79.5,60.9
ST209,Yash Desai,8th,Female,100,86.6,76,73.6,84.2,1.1,75.5,78.7
ST210,Isha Khan,8th,Male,80,81.4,61.7,77,94.2,2.1,55.7,73.4
ST211,Zoya Desai,8th,Male,69.7,66.6,77.2,68.9,65.4,3.3,81.2,70.9
ST212,Tanvi Sharma,8th,Female,82.4,68.1,59.7,64.9,74.1,2.4,64.1,64.2
ST213,Sana Desai,10th,Female,83.8,47.5,41.5,54.3,71.3,0.5,55.7,47.8
ST214,Arjun Khan,8th,Male,82.4,80.6,77.3,75,67.1,2,76.2,77.6
ST215,Krishna Gupta,9th,Male,90,76.3,74.2,91.1,83,5.1,53.3,80.5
ST216,Aarav Joshi,9th,Female,82.7,65.7,51.8,63.8,87.1,2.1,60.9,60.4
ST217,Shreya Gupta,9th,Female,89.7,78,72.2,68.8,64.6,2.6,69.9,73
ST218,Diya Verma,10th,Female,74.2,87.3,64.6,85,75.5,1.4,96.6,79
ST219,Arjun Verma,8th,Female,99.8,81,84.2,73.4,90.4,3.5,61.8,79.5
ST220,Isha Shah,8th,Female,84.5,68.9,60.1,72.8,83.3,2.9,64.5,67.3
ST221,Varun Joshi,8th,Male,86,65.1,58.4,66.3,85.1,1.9,78.8,63.3
ST222,Sana Patel,10th,Female,74.2,55.8,58.8,72,91.4,1.2,55.1,62.2
ST223,Anjali Desai,9th,Male,86.7,86.5,90.9,97,91.3,4.5,75.3,91.4
ST224,Isha Shah,9th,Male,88.5,68,76.8,89.4,87.3,0.9,84.5,78.1
ST225,Riya Joshi,8th,Male,70.3,64.1,65,71.7,76.7,3.4,66.3,66.9
ST226,Sahil Desai,9th,Female,65.4,62.6,56.5,58.2,70.4,0.5,82.3,59.1
ST227,Varun Desai,9th,Male,84.9,69.5,74,72.3,76.2,3.6,73.5,71.9
ST228,Ananya Desai,10th,Male,77.1,92.3,91.6,78.4,68.6,4,61.2,87.5
ST229,Shreya Mehta,10th,Female,84.6,78.3,71.5,90.6,51.6,4.1,67.6,80.1
ST230,Karan Gupta,10th,Male,69.1,58.6,66.9,61.7,71.6,2.6,65.4,62.4
ST231,Aarav Desai,10th,Male,66.4,71.4,74.2,69.5,79.3,4.7,68.9,71.7
ST232,Zoya Sharma,8th,Female,84.1,86.4,84.1,72.7,68,5.6,71.8,81.1
ST233,Pooja Patel,10th,Male,78.5,71.6,65.2,63.9,72.7,2.4,77.1,66.9
ST234,Isha Khan,9th,Male,60.9,69,65.6,62,73.2,2.3,76.1,65.5
ST235,Rahul Singh,8th,Male,95.4,75.7,71.8,59.1,91.3,3,40.8,68.9
ST236,Ishaan Gupta,9th,Female,68.9,66.3,58.7,79.5,70.7,2.2,68.8,68.2
ST237,Aarav Mehta,9th,Female,100,94.8,86.3,83.6,91.3,2.1,51.9,88.2
ST238,Ananya Khan,9th,Female,75.8,61.5,64.9,58.3,42.5,2.2,66.7,61.6
ST239,Dev Mehta,10th,Male,86,61.2,91.9,88.4,91.2,4.9,68.5,80.5
ST240,Aditya Desai,10th,Male,98.5,90.6,60.9,79.6,90.6,3.7,81.7,77
ST241,Rahul Shah,8th,Female,96.8,81.8,85.7,82.7,85.8,2.2,69.6,83.4
ST242,Ananya Khan,8th,Male,100,53.7,45.3,50.8,50.9,0.5,73.1,49.9
ST243,Yash Gupta,10th,Male,66.8,68.4,45.2,59.9,87.2,0.9,79.5,57.8
ST244,Pooja Sharma,9th,Female,70.6,63.2,76.5,84.4,74.4,3.4,84.7,74.7
ST245,Isha Verma,8th,Female,84.3,54,55.6,51.3,44.6,0.5,68.5,53.6
ST246,Ananya Desai,10th,Male,90.4,95.6,87.1,86.8,90.6,3.2,71.1,89.8
ST247,Zoya Gupta,10th,Male,81.9,72.9,72.9,75.2,92.3,1.5,70.1,73.7
ST248,Diya Verma,10th,Male,65.6,56.9,61.2,53,52.1,2.9,63.5,57
ST249,Aarav Gupta,9th,Female,87,57.7,62.7,64.7,77.1,2.9,60.8,61.7
ST250,Varun Desai,10th,Female,80.1,53.8,88,68.5,91.7,2.9,42.7,70.1
ST251,Kavya Khan,10th,Female,79.9,68,65.5,65.3,89.8,2.3,57.1,66.3
ST252,Ananya Verma,10th,Female,59.2,64.1,72.3,67.2,85,2.3,48.7,67.9
ST253,Aditi Verma,10th,Male,90,82.4,57.5,70,43.2,1.9,85.1,70
ST254,Kavya Desai,8th,Female,83.5,75.3,84.7,75.3,83.8,3.4,72.3,78.5
ST255,Sahil Desai,8th,Female,100,69.8,75.2,65.7,72.4,3.8,68.5,70.2
ST256,Aarav Joshi,10th,Female,81.3,84.3,51.7,54.8,87,1.3,61.4,63.6
ST257,Ananya Verma,9th,Female,87.7,74.4,74.4,70.6,78.1,2.7,70.4,73.2
ST258,Rahul Joshi,8th,Female,90.3,70.6,69.4,75.1,74.8,3,59.8,71.7
ST259,Rahul Mehta,10th,Male,64.5,71.6,77.4,82.6,82.7,3,72.1,77.2
ST260,Aditi Sharma,8th,Male,100,85.3,92.4,98.8,72.9,3,72.9,92.1
ST261,Anjali Verma,8th,Female,77.7,80.4,61,80.8,74.7,2.3,59.7,74.1
ST262,Ved Patel,9th,Male,86.9,85.5,92.3,88.6,68.3,3.1,59.4,88.8
ST263,Aditya Sharma,10th,Female,88.4,83.9,78,78.9,55.7,3.5,81.5,80.3
ST264,Aarav Shah,10th,Female,73.9,87.6,97.4,77.4,81.8,3,69.4,87.5
ST265,Krishna Gupta,9th,Male,100,68.2,67.3,68.1,65.3,3.4,60.6,67.9
ST266,Meera Shah,9th,Male,84.7,93.5,85.3,96.8,72.6,4,65.6,91.9
ST267,Aarav Sharma,10th,Female,79.9,63,59,64.2,78.4,0.6,57.9,62.1
ST268,Ishaan Desai,10th,Female,83.4,65.9,67.9,59.4,50,3.9,69.2,64.4
ST269,Krishna Patel,9th,Female,89.6,66,66,75,52.7,3.2,80,69
ST270,Dev Shah,8th,Male,82.1,67.1,60.7,67.9,71.4,1.5,69.7,65.2
ST271,Rohan Shah,8th,Female,90.8,87,76.6,88.5,80.5,3.8,98.4,84
ST272,Varun Sharma,9th,Female,65.2,60.1,60.5,63.8,83.9,2.3,75.1,61.5
ST273,Zoya Joshi,8th,Female,74.5,63.9,75.2,73.8,55.9,2.5,72.8,70.9
ST274,Dev Desai,9th,Male,60.6,60.8,56.9,62.2,82.6,2.2,59.1,60
ST275,Kavya Desai,8th,Female,100,85.4,89.6,77.7,72.1,3.2,67.1,84.2
ST276,Isha Patel,8th,Female,100,77.4,78.4,82.6,64.4,1.9,60.7,79.5
ST277,Sahil Singh,10th,Male,88.3,61.9,54.5,64.8,67.2,3.9,44,60.4
ST278,Diya Verma,10th,Female,71.9,72.8,83.3,69.6,84.6,2.6,81.7,75.2
ST279,Zoya Gupta,8th,Female,100,81.7,73.6,75.6,78.3,2.4,63.9,77
ST280,Rohan Joshi,8th,Male,76,80.4,84.2,76.7,75.6,3.7,60.9,80.4
ST281,Akash Singh,10th,Female,79.9,83.1,77.3,73.2,77.9,2.4,72.5,77.9
ST282,Shreya Singh,10th,Male,83.6,82.6,76.2,87.6,86.1,3.9,76.1,82.1
ST283,Akash Desai,10th,Male,86.5,47,65.3,61.9,73.8,4,66.2,58.1
ST284,Ananya Singh,9th,Female,88.4,64.9,64.7,73.6,75.7,1.2,70,67.7
ST285,Ved Shah,8th,Female,88.8,85.5,91.6,86.4,88.7,4.1,79,87.9
ST286,Riya Shah,10th,Female,80.6,80.8,79.9,64.5,71,1,65.7,75.1
ST287,Rahul Verma,8th,Female,88.7,74.3,74.4,69.6,82.4,4.2,73.6,72.8
